EventName(한/영),캐릭터 이름(name)(영),대사(context)(한)
,하르트만,아니 아무도 지나가지 않았네
end,,
,,
반복-하르트만,주인공,왜 이런곳에 있는겁니까?
,하르트만,잠깐 객실 안이 답답해서 말이지
end,,
,,
아이템1-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,그건 어디서 났지?
,주인공,무언가 알고 계십니까?
,하르트만,아니 그냥 좀 수상해서 그렇지
end,,
,,
아이템2-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,그 음악가 친구가 기타를 매고 있던데 그 친구것이 아니겠나?
end,,
,,
아이템3-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템4-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템5-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템6-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템7-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템8-하르트만,주인공,이 명함 당신 것이더군요
,하르트만,흠 어디서 떨어트렸다 했더니 거기 있었나?
end,,
,,
아이템9-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템10-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템11-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템12-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템13-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템14-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템15-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템16-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템17-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템18-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템19-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
아이템20-하르트만,주인공,이것에 대해 알고 있는게 있습니까?
,하르트만,잘 모르겠군
end,,
,,
추가이벤트1-하르트만,하르트만,추가 이벤트 1!
,주인공,추가 이벤트 1 확인!
end,,
,,
추가이벤트2-하르트만,하르트만,추가 이벤트 2!
,주인공,추가 이벤트 2 확인!
end,,
,,
추가이벤트3-하르트만,하르트만,추가 이벤트 3!
,주인공,추가 이벤트 3 확인!
end,,
,,
인사-다니엘,주인공,실례합니다. 기차에 문제가 생겨 인원 확인을 하고 있습니다.
,다니엘,그런가요.
,주인공,다니엘 래커씨 맞습니까?
,다니엘,..........
end,,
,,
반복-다니엘,주인공,다니엘 래커씨?
,다니엘,..........
end,,
,,
아이템1-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템2-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템3-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템4-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템5-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템6-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템7-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템8-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템9-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템10-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템11-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,,당신것 같은데요?
,다니엘,.......
end,,
,,
아이템12-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
,주인공,(무언가 알고 있는 눈치이다)
end,,
,,
아이템13-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템14-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템15-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템16-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템17-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템18-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템19-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
end,,
,,
아이템20-다니엘,주인공,이것에 대해 알고 있는게 있습니까?
,다니엘,..........
,,그걸 어디서....?
,주인공,사진속에 사람 누구인지 알고 있습니까?
,다니엘,..........
,주인공,(무언가 알고 있는 눈치이다)
end,,
,,
추가이벤트1-다니엘,다니엘,추가 이벤트 1!
,주인공,추가 이벤트 1 확인!
end,,
,,
추가이벤트2-다니엘,다니엘,추가 이벤트 2!
,주인공,추가 이벤트 2 확인!
end,,
,,
추가이벤트3-다니엘,다니엘,추가 이벤트 3!
,주인공,추가 이벤트 3 확인!
end,,
,,
인사-현식,현식,이봐 기차에 무슨 문제라도 있나?
,,좀 이상이 있는것 같은데?
end,,
,,
반복-현식,현식,궁금한게 있다면 나를 통하도록
end,,
,,
아이템1-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템2-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템3-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템4-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템5-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템6-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템7-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템8-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템9-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템10-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템11-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템12-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템13-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템14-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템15-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템16-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템17-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템18-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템19-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
아이템20-현식,주인공,이것에 대해 알고 있는게 있습니까?
,현식,잘 모르겠군
end,,
,,
추가이벤트1-현식,현식,추가 이벤트 1!
,주인공,추가 이벤트 1 확인!
end,,
,,
추가이벤트2-현식,현식,추가 이벤트 2!
,주인공,추가 이벤트 2 확인!
end,,
,,
추가이벤트3-현식,현식,추가 이벤트 3!
,주인공,추가 이벤트 3 확인!
end,,
,,
인사-타로,주인공,당신을 찾고 있었습니다.
,타로,저를 아시나요?
,주인공,기업 쪽에서 연락이 왔습니다.
,,왜 이런곳에 계시는 거죠?
,타로,잠깐 짐을 찾으러 왔는데 문이 잠겨 있더군요
,주인공,(무언가 어색하다)
end,,
,,
반복-타로,타로,......
end,,
,,
아이템1-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
,주인공,(대답을 회피한다.)
end,,
,,
아이템2-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
,주인공,(대답을 회피한다.)
end,,
,,
아이템3-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,아무것도 들어 있지 않는데 제가 뭘 알겠습니까?
,주인공,(예민하게 반응 하는것 같다)
end,,
,,
아이템4-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,그건 저희쪽 서류 같은데요?
,주인공,(무언가 알고 있는 눈치다)
end,,
,,
아이템5-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
end,,
,,
아이템6-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
end,,
,,
아이템7-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
end,,
,,
아이템8-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
end,,
,,
아이템9-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
end,,
,,
아이템10-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
end,,
,,
아이템11-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
end,,
,,
아이템12-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
end,,
,,
아이템13-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,그... 그게 어쨌다는 거죠?
,주인공,(무언가 수상한 눈치다)
end,,
,,
아이템14-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
end,,
,,
아이템15-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
end,,
,,
아이템16-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
end,,
,,
아이템17-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
end,,
,,
아이템18-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
end,,
,,
아이템19-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
end,,
,,
아이템20-타로,주인공,이것에 대해 알고 있는게 있습니까?
,타로,저를 의심하시는 겁니까?
end,,
,,
추가이벤트1-타로,타로,추가 이벤트 1!
,주인공,추가 이벤트 1 확인!
end,,
,,
추가이벤트2-타로,타로,추가 이벤트 2!
,주인공,추가 이벤트 2 확인!
end,,
,,
추가이벤트3-타로,타로,추가 이벤트 3!
,주인공,추가 이벤트 3 확인!
end,,
,,
인사-유나,유나,무슨 일이시죠?
,유나,기차에 무슨일이 있는건가요?
,주인공,기차에 문제가 있어 몇가지 질문을 드리려 합니다.
end,,
,,
반복-유나,유나,어떤 질문이죠?
end,,
,,
아이템1-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,그건... 칼 아닌가요?
,주인공,(잘 모르는 눈치이다.)
end,,
,,
아이템2-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,저기 음악가분이 가지고 있던걸 봤습니다.
end,,
,,
아이템3-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
아이템4-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
아이템5-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
아이템6-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
아이템7-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
아이템8-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
아이템9-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,그건.....
,주인공,(무언가 알고 있는 눈치다)
end,,
,,
아이템10-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
아이템11-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
아이템12-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
아이템13-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
아이템14-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
아이템15-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
아이템16-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
아이템17-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
아이템18-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
,주인공,정말 모르시나요?
,유나,정말 모르겠는걸요?
,주인공,(무언가 이상한데?)
end,,
,,
아이템19-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
아이템20-유나,주인공,이것에 대해 알고 있는게 있습니까?
,유나,잘 모르겠네요.
end,,
,,
추가이벤트1-유나,유나,추가 이벤트 1!
,주인공,추가 이벤트 1 확인!
end,,
,,
추가이벤트2-유나,유나,추가 이벤트 2!
,주인공,추가 이벤트 2 확인!
end,,
,,
추가이벤트3-유나,유나,추가 이벤트 3!
,주인공,추가 이벤트 3 확인!
end,,
,,
인사-얼릭,주인공,이건...?
,얼릭,난 얼릭 난 얼릭 난 얼릭
,유나,제 남편의 데이터가 담겨있는 드론이에요
,유나,뭔가 문제가 생겨 정상적인 대화가 불가능해요
end,,
,,
반복-얼릭,얼릭,ERROR
end,,
,,
아이템1-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템2-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템3-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템4-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템5-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템6-얼릭,얼릭,Serial Number : 504875-454570
end,,
,,
아이템7-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템8-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템9-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템10-얼릭,얼릭,사건 번호 : 4088A48142
,주인공,(뭔가 알고 있는것 같다)
end,,
,,
아이템11-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템12-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템13-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템14-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템15-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템16-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템17-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템18-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
아이템19-얼릭,얼릭,D.H - victim
,주인공,(뭔가 알고 있는것 같다)
end,,
,,
아이템20-얼릭,얼릭,ERROR ERROR ERROR
end,,
,,
추가이벤트1-얼릭,얼릭,추가 이벤트 1!
,주인공,추가 이벤트 1 확인!
end,,
,,
추가이벤트2-얼릭,얼릭,추가 이벤트 2!
,주인공,추가 이벤트 2 확인!
end,,
,,
추가이벤트3-얼릭,얼릭,추가 이벤트 3!
,주인공,추가 이벤트 3 확인!
end,,
,,
인사-데이비드,주인공,당신은....?
,데이비드,데이비드 남궁이라고 하네.
end,,
,,
반복-데이비드,데이비드,아쉽지만 우린 아는게 없다네.
end,,
,,
아이템1-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템2-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템3-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템4-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템5-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
,주인공,서류 가방에 아무것도 들어있지 않는데 수상하지 않습니까?
,데이비드,나는 잘 모르겠네만?
end,,
,,
아이템6-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템7-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠....확인 한번 해봐도 되겠나?
,,이건 우리쪽 서류 같은데?
,주인공,(보고서의 내용이 무언가 이상하다)
end,,
,,
아이템8-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템9-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템10-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템11-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템12-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템13-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템14-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템15-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템16-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템17-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템18-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템19-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
아이템20-데이비드,주인공,이것에 대해 알고 있는게 있습니까?
,데이비드,흠..... 잘 모르겠군?
end,,
,,
추가이벤트1-데이비드,데이비드,추가 이벤트 1!
,주인공,추가 이벤트 1 확인!
end,,
,,
추가이벤트2-데이비드,데이비드,추가 이벤트 2!
,주인공,추가 이벤트 2 확인!
end,,
,,
추가이벤트3-데이비드,데이비드,추가 이벤트 3!
,주인공,추가 이벤트 3 확인!
end,,
,,
인사-김,주인공,당신은.....?
,김,난 김...
